srcare,dstare,wh_id,lodlvl,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
HOTPICK,SSTGX,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
HOTPICK,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
HOTPICK,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
PKGS,SSTGX,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
PKGS,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
CD,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
EL,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
LN,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CQ,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
GU,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
GV,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CMD,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CWB,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
KH,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CKB,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CTR,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CEB,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CLOO,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CTRD,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
VS,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
FRA,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
HFRA,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
GNRC,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
GFT,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
CIGARA,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
CIGARA,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
FC,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
LQRR,SSTGX,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
LQRD,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
LQRDC,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
VLQRD,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
VLQRDC,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
PRSGR,SSTGX,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
PRSG,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
PRSG,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
TOBR,SSTGX,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
TOBD,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
WINR,SSTGX,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
WIND,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
WINDC,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
VWIND,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
SOUV,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
XDKK,SSTGX,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
XDKK,SSTGX,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
XDKK,SSTGX,SGDC,D,sysdate,sysdate,SAMNI,SAMNI
XDKK,SSTGL,SGDC,L,sysdate,sysdate,SAMNI,SAMNI
XDKK,SSTGL,SGDC,S,sysdate,sysdate,SAMNI,SAMNI
XDKK,SSTGL,SGDC,D,sysdate,sysdate,SAMNI,SAMNI