arecod,stoloc,wh_id,locsts,velzon,wrkzon,aisle_id,trvseq,rescod,lochgt,loclen,locwid,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cntzon_id,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,ignore_psh_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc
HOTPICK,HOTPSWT,SGDC,E,B,NONE,,10000000,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
HOTPICK,HOTPGM,SGDC,E,B,NONE,,10000001,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RL,RLLIQ,SGDC,E,B,NONE,,10000000,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RL,RLWIN,SGDC,E,B,NONE,,10000001,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RL,RLTOB,SGDC,E,B,NONE,,10000002,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RL,RLBTY,SGDC,E,B,NONE,,10000003,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RL,RLPF,SGDC,E,B,NONE,,10000004,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
DMG,DMGLIQ,SGDC,E,B,NONE,,20000000,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
DMG,DMGWIN,SGDC,E,B,NONE,,20000001,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
DMG,DMGTOB,SGDC,E,B,NONE,,20000002,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
DMG,DMGBTY,SGDC,E,B,NONE,,20000003,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
DMG,DMGPF,SGDC,E,B,NONE,,20000004,,9999999,9999999,9999999,,1000,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
PND,PDLIQ,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
PND,PDWIN,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
PND,PDTOB,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
PND,PDBTY,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
PND,PDPF,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
QCGM,QCGMS,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
QCSWT,QCSWTS,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
QCPRED,QCPREDS,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RSTG,RSGM,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,0,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RSTG,RSSWT,SGDC,E,B,NONE,,,,,,,,1000,0,0,,,1,0,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
SSTGL,SSL,SGDC,E,B,NONE,,,,,,,,10000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,10000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
SSTGX,SSX,SGDC,E,B,NONE,,,,,,,,10000,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,10000,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,