devcod,wh_id,curwrkare,curwrkzon,curstoloc,hmewrkare,vehtyp,rftmod,actdte,moddte,mod_usr_id
RDT001,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT002,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT003,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT004,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT005,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT006,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT007,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT008,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT009,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT010,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT011,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT012,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT013,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT014,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT015,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT016,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT017,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT018,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT019,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT020,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT021,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT022,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT023,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT024,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT025,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT026,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT027,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT028,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT029,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT030,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT031,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT032,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT033,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT034,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT035,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT036,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT037,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT038,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT039,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT040,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT041,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT042,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT043,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT044,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT045,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT046,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT047,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT048,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT049,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT050,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT051,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT052,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT053,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT054,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT055,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT056,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT057,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT058,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT059,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT060,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT061,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT062,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT063,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT064,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT065,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT066,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT067,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT068,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT069,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT070,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT071,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT072,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT073,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT074,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT075,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT076,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT077,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT078,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT079,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT080,SGDC,,,,WKAGM,HAND,U,sysdate,sysdate,SAMNI
RDT081,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT082,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT083,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT084,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT085,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT086,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT087,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT088,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT089,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT090,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT091,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT092,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT093,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT094,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT095,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT096,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT097,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT098,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT099,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI
RDT100,SGDC,,,,WKASWT,HAND,U,sysdate,sysdate,SAMNI