polcod,polvar,polval,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,wh_id_tmpl
USR,AUTO-CREATE-DELAY-FOR-BREAK,ENABLED,0,,,1,0,0,0,,,USR-WOW,----
USR,WALK-TIME,TIME-FOR-BREAK,0,"BREAK1AMB","WALKTIME",5,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,1,"BREAK1CHL","WALKTIME",3,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,2,"BREAK1PRD","WALKTIME",6,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,3,"BREAK2AMB","WALKTIME",5,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,4,"BREAK2CHL","WALKTIME",3,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,5,"BREAK2PRD","WALKTIME",6,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,6,"FRZR BREAK","WALKTIME",0,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,7,"LUNCH AMB","WALKTIME",5,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,8,"LUNCH CHL","WALKTIME",3,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,9,"LUNCH PRD","WALKTIME",6,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,10,"OTBREAKAMB","WALKTIME",5,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,11,"OTBREAKCHL","WALKTIME",3,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,12,"OTBREAKPRD","WALKTIME",6,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,13,"OTLUNCHAMB","WALKTIME",5,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,14,"OTLUNCHCHL","WALKTIME",3,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,15,"OTLUNCHPRD","WALKTIME",6,0,0,0,,,USR-WOW,PRDC
USR,WALK-TIME,TIME-FOR-BREAK,0,"BREAK","WALKTIME",1,20,0,0,,,USR-WOW,PNRDC
USR,WALK-TIME,TIME-FOR-BREAK,1,"BREAK2","WALKTIME",1,20,0,0,,,USR-WOW,PNRDC
USR,WALK-TIME,TIME-FOR-BREAK,2,"BREAK3","WALKTIME",1,20,0,0,,,USR-WOW,PNRDC
USR,WALK-TIME,TIME-FOR-BREAK,3,"LUNCH","WALKTIME",1,20,0,0,,,USR-WOW,PNRDC
USR,WALK-TIME,TIME-FOR-BREAK,4,"OVRTBREAK","WALKTIME",1,0,0,0,,,USR-WOW,PNRDC
USR,WALK-TIME,TIME-FOR-BREAK,0,"BREAK","WALKTIME",5,0,0,0,,,USR-WOW,SLDC
USR,WALK-TIME,TIME-FOR-BREAK,1,"BREAK2","WALKTIME",5,0,0,0,,,USR-WOW,SLDC
USR,WALK-TIME,TIME-FOR-BREAK,2,"BREAK3","WALKTIME",5,0,0,0,,,USR-WOW,SLDC
USR,WALK-TIME,TIME-FOR-BREAK,3,"LUNCH","WALKTIME",5,0,0,0,,,USR-WOW,SLDC
USR,WALK-TIME,TIME-FOR-BREAK,4,"OVRTBREAK","WALKTIME",5,0,0,0,,,USR-WOW,SLDC